"Program","Year","Period","Geo.Level","State","State.ANSI","Ag.District","Ag.District.Code","County","County.ANSI","Domain","use","details","Value","CV....","Fruit","Category","Item","Metric","name","code"
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"TOTAL","NOT SPECIFIED",NA,3,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"TOTAL","NOT SPECIFIED",NA,6,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"BULLOCK",11,"TOTAL","NOT SPECIFIED",NA,5,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"MONTGOMERY",101,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"BLACK BELT",40,"SUMTER",119,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"TOTAL","NOT SPECIFIED",NA,1,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"TOTAL","NOT SPECIFIED",NA,1,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"TOTAL","NOT SPECIFIED",NA,6,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"CONECUH",35,"TOTAL","NOT SPECIFIED",NA,6,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"TOTAL","NOT SPECIFIED",NA,3,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"COASTAL PLAINS & GULF COAST",50,"MOBILE",97,"TOTAL","NOT SPECIFIED",NA,3,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"TOTAL","NOT SPECIFIED",NA,3,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"TOTAL","NOT SPECIFIED",NA,3,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"BLOUNT",9,"TOTAL","NOT SPECIFIED",NA,1,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"TOTAL","NOT SPECIFIED",NA,2,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CALHOUN",15,"TOTAL","NOT SPECIFIED",NA,2,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"TOTAL","NOT SPECIFIED",NA,4,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CLEBURNE",29,"TOTAL","NOT SPECIFIED",NA,4,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,8,13.2,"Strawberries",NA,"ACRES BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,9,15.7,"Strawberries",NA,"ACRES GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,1,NA,"Strawberries",NA,"ACRES NON-BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,10,55.7,"Strawberries",NA,"OPERATIONS WITH AREA BEARING","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,11,52.7,"Strawberries",NA,"OPERATIONS WITH AREA GROWN","N/A",NA,NA
"CENSUS",2022,"YEAR","COUNTY","ALABAMA",1,"MOUNTAINS & EASTERN VALLEY",20,"CULLMAN",43,"TOTAL","NOT SPECIFIED",NA,3,47.6,"Strawberries",NA,"OPERATIONS WITH AREA NON-BEARING","N/A",NA,NA
